iyear,imonth,idate,country,country_txt,region,region_txt,provstate,city,crit1,crit2,crit3,success,attacktype1,attacktype1_txt,targtype1,targtype1_txt,natlty1,natlty1_txt,gname,individual,weaptype1,weaptype1_txt,weapdetail,nkill,ishostkid,ransom
2000,1,1,19,Bangladesh,6,South Asia,Chittagong,Chittagong,1,1,1,1,3,Bombing/Explosion,2,Government (General),19,Bangladesh,Unknown,0,6,Explosives,,,0,
2000,1,1,19,Bangladesh,6,South Asia,Chittagong,Chittagong,1,1,1,1,3,Bombing/Explosion,1,Business,19,Bangladesh,Unknown,0,6,Explosives,,,0,
2000,1,1,19,Bangladesh,6,South Asia,Chittagong,Chittagong,1,1,1,1,2,Armed Assault,14,Private Citizens & Property,19,Bangladesh,Unknown,0,6,Explosives,,,0,
2000,1,1,19,Bangladesh,6,South Asia,Chittagong,Chittagong,1,1,1,1,2,Armed Assault,14,Private Citizens & Property,19,Bangladesh,Unknown,0,6,Explosives,,0,0,
2000,1,1,19,Bangladesh,6,South Asia,Chittagong,Chittagong,1,1,1,1,2,Armed Assault,2,Government (General),19,Bangladesh,Unknown,0,6,Explosives,,0,0,
2000,1,1,217,United States,1,North America,Michigan,Mesick,1,1,1,1,7,Facility/Infrastructure Attack,1,Business,217,United States,Earth Liberation Front (ELF),0,8,Incendiary,"gasoline, charcoal and matches used to set the fire",0,0,0
2000,1,1,186,Sri Lanka,6,South Asia,Norhtern,Iyakachchi,1,1,0,1,9,Unknown,4,Military,186,Sri Lanka,Tamils,0,13,Unknown,No specific mention of weapons was made,63,0,
2000,1,2,75,Germany,8,Western Europe,Thuringia,Erfurt,1,1,1,0,2,Armed Assault,2,Government (General),75,Germany,Autonomous Decorators,0,8,Incendiary,A Molotov cocktail was thrown at the building.,0,0,
2000,1,2,6,Algeria,10,Middle East & North Africa,Medea (Province),El Omaria,1,1,1,1,2,Armed Assault,14,Private Citizens & Property,6,Algeria,Unknown,0,9,Melee,The members of the family were stabbed to death and one boy was burnt in the house,5,1,0
2000,1,2,45,Colombia,3,South America,Bogota,Bogota,1,1,1,0,3,Bombing/Explosion,14,Private Citizens & Property,45,Colombia,Unknown,0,6,Explosives,The bomb consisted of 1 kg of pentonite in a cardboard box.,0,0,
2000,1,2,45,Colombia,3,South America,Antioquia,Unknown,1,1,1,1,3,Bombing/Explosion,21,Utilities,45,Colombia,Revolutionary Armed Forces of Colombia (FARC),0,6,Explosives,FARC used dynamite in the attack,0,0,
2000,1,3,139,Namibia,11,Sub-Saharan Africa,Caprivi,Katima Mulilio,1,1,1,1,2,Armed Assault,18,Tourists,69,France,National Union for the Total Independence of Angola (UNITA),0,5,Firearms,,3,0,
2000,1,3,110,Lebanon,10,Middle East & North Africa,Beirut,Beirut,1,1,1,1,2,Armed Assault,7,Government (Diplomatic),167,Russia,Asbat al-Ansar,0,5,Firearms,,2,0,
2000,1,3,92,India,6,South Asia,Jammu and Kashmir,Srinagar,1,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,92,India,Unknown,0,6,Explosives,The bomb could have either been a surface mine or an IED timer device,18,0,
2000,1,3,78,Greece,8,Western Europe,Attica,Athens,1,1,1,1,7,Facility/Infrastructure Attack,7,Government (Diplomatic),102,Jordan,Anarchist Faction,0,8,Incendiary,,0,0,
2000,1,3,6,Algeria,10,Middle East & North Africa,Ain Defla (Province),Khemis Miliana,1,1,1,1,3,Bombing/Explosion,15,Religious Figures/Institutions,6,Algeria,Unknown,0,6,Explosives,,,0,
2000,1,3,6,Algeria,10,Middle East & North Africa,Tipasa (Province),Germain,1,1,1,1,2,Armed Assault,1,Business,6,Algeria,Unknown,0,5,Firearms,,6,0,
2000,1,3,217,United States,1,North America,California,Petaluma,1,1,1,1,7,Facility/Infrastructure Attack,1,Business,217,United States,Animal Liberation Front (ALF),0,8,Incendiary,Diesel fuel was used to start the fires.,0,0,
2000,1,3,217,United States,1,North America,Ohio,Cincinnati,1,1,1,0,3,Bombing/Explosion,5,Abortion Related,217,United States,Anti-Abortion extremists,0,6,Explosives,Shrapnel bombs placed in a package designed to explode upon opening.  It is believed that the device was powerful enough to kill whoever opened it.,0,0,0
2000,1,3,217,United States,1,North America,Ohio,Cincinnati,1,1,1,0,3,Bombing/Explosion,5,Abortion Related,217,United States,Anti-Abortion extremists,0,6,Explosives,Shrapnel bombs placed in a package designed to explode upon opening.  It is believed that the device was powerful enough to kill whoever opened it.,0,0,0
2000,1,3,228,Yemen,10,Middle East & North Africa,Adan,Aden,1,1,0,0,3,Bombing/Explosion,4,Military,217,United States,Al-Qaida,0,6,Explosives,An explosives-laden vessel was used in the attack.,0,0,
2000,1,4,185,Spain,8,Western Europe,Basque Country,Durango,1,1,1,0,2,Armed Assault,4,Military,185,Spain,Unknown,0,8,Incendiary,13 petrol bombs were thrown at the barracks,0,0,
2000,1,4,12,Armenia,7,Central Asia,Yerevan (Special Administrative Region),Yerevan,1,1,1,1,7,Facility/Infrastructure Attack,10,Journalists & Media,12,Armenia,Unknown,0,8,Incendiary,,0,0,
2000,1,4,78,Greece,8,Western Europe,Attica,Athens,1,1,1,0,3,Bombing/Explosion,1,Business,78,Greece,Unknown,0,6,Explosives,,0,0,
2000,1,4,213,Uganda,11,Sub-Saharan Africa,Western,Kasese district,1,1,1,1,2,Armed Assault,1,Business,213,Uganda,Allied Democratic Forces (ADF),0,8,Incendiary,,0,0,
2000,1,4,45,Colombia,3,South America,Bogota,Bogota,1,1,1,1,7,Facility/Infrastructure Attack,12,NGO,999,Multinational,Unknown,0,9,Melee,Sticks were used in this attack.,0,1,0
2000,1,4,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,1,1,1,1,8,Unarmed Assault,3,Police,147,Nigeria,Odua Peoples' Congress (OPC),0,2,Chemical,Acid caustic,0,-9,
2000,1,5,185,Spain,8,Western Europe,Basque Country,Donostia-San Sebastian,1,1,1,1,2,Armed Assault,1,Business,185,Spain,Unknown,0,8,Incendiary,,0,0,
2000,1,5,185,Spain,8,Western Europe,Basque Country,Andoain,1,1,1,1,2,Armed Assault,2,Government (General),185,Spain,Unknown,0,6,Explosives,Three petrol bombs were thrown through the window,0,0,
2000,1,5,186,Sri Lanka,6,South Asia,Western,Colombo,1,1,1,1,1,Assassination,2,Government (General),186,Sri Lanka,Unknown,0,5,Firearms,,1,0,
2000,1,5,186,Sri Lanka,6,South Asia,Western,Colombo,1,1,1,1,3,Bombing/Explosion,2,Government (General),186,Sri Lanka,Liberation Tigers of Tamil Eelam (LTTE),0,6,Explosives,,11,0,
2000,1,6,185,Spain,8,Western Europe,Basque Country,Donostia-San Sebastian,1,1,1,1,7,Facility/Infrastructure Attack,1,Business,185,Spain,Unknown,0,8,Incendiary,,0,0,
2000,1,6,167,Russia,9,Eastern Europe,Chechnya (Republic),Chervlennaya,1,1,1,1,3,Bombing/Explosion,2,Government (General),167,Russia,Chechen Rebels,0,6,Explosives,A thermal shell was used,0,0,
2000,1,6,92,India,6,South Asia,Delhi,New Delhi,1,1,1,1,3,Bombing/Explosion,19,Transportation,92,India,Unknown,0,6,Explosives,It appeared  a crudely made bomb was used,0,0,
2000,1,7,92,India,6,South Asia,Andhra Pradesh,Unknown,1,1,1,1,3,Bombing/Explosion,2,Government (General),92,India,People's War Group (PWG),0,6,Explosives,,0,0,
2000,1,7,179,Slovak Republic,9,Eastern Europe,Bratislava (Region),Bratislava,1,1,1,1,2,Armed Assault,1,Business,179,Slovak Republic,Unknown,0,8,Incendiary,A Molotov cocktail was thrown into the building,0,0,
2000,1,7,603,United Kingdom,8,Western Europe,Northern Ireland,Antrim,1,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,233,Northern Ireland,Unknown,0,6,Explosives,,0,0,
2000,1,7,45,Colombia,3,South America,Meta,Puerto Rico district,1,1,1,1,2,Armed Assault,3,Police,45,Colombia,Revolutionary Armed Forces of Colombia (FARC),0,5,Firearms,,0,0,
2000,1,8,98,Italy,8,Western Europe,Lazio,Rome,1,1,1,1,2,Armed Assault,22,Violent Political Party,98,Italy,Revolutionary Leninist Brigades,0,8,Incendiary,,0,0,
2000,1,8,185,Spain,8,Western Europe,Basque Country,Hernani,1,1,1,1,2,Armed Assault,16,Telecommunication,185,Spain,Unknown,0,8,Incendiary,A flammable liquid was put on the equipment,0,0,
2000,1,8,195,Sudan,11,Sub-Saharan Africa,Al Wahdah,Bentiu,1,1,1,1,2,Armed Assault,12,NGO,195,Sudan,Unknown,0,5,Firearms,,2,-9,
2000,1,8,95,Iraq,10,Middle East & North Africa,Sulaymaniyah,Kalar District,1,1,1,0,3,Bombing/Explosion,14,Private Citizens & Property,95,Iraq,Muslim extremists,0,6,Explosives,The grenade exploded in the perpetrator's hand.,1,0,
2000,1,8,93,Indonesia,5,Southeast Asia,East Aceh,Simpang Ulim,1,1,1,1,2,Armed Assault,3,Police,93,Indonesia,Free Aceh Movement (GAM),0,5,Firearms,,2,0,
2000,1,8,235,Yugoslavia,9,Eastern Europe,Kolubara (District),Popuke,1,1,1,1,2,Armed Assault,2,Government (General),175,Serbia-Montenegro,Unknown,0,8,Incendiary,A Molotov cocktail was thrown into the building,0,0,
2000,1,8,185,Spain,8,Western Europe,Basque Country,Guernica,1,1,1,1,2,Armed Assault,1,Business,185,Spain,Unknown,0,8,Incendiary,Molotov cocktails were thrown at each facility,0,0,
2000,1,8,94,Iran,10,Middle East & North Africa,Ilam,Chalfra,1,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,94,Iran,Mujahedin-e Khalq (MEK),0,6,Explosives,82mm mortars,3,0,
2000,1,9,235,Yugoslavia,9,Eastern Europe,Kolubara (District),Valjevo,1,1,1,1,2,Armed Assault,14,Private Citizens & Property,175,Serbia-Montenegro,Unknown,0,5,Firearms,,0,0,
2000,1,9,93,Indonesia,5,Southeast Asia,Aceh (Special Territory),Aceh,1,1,1,1,2,Armed Assault,3,Police,93,Indonesia,Free Aceh Movement (GAM),0,5,Firearms,,1,0,
2000,1,9,209,Turkey,10,Middle East & North Africa,Istanbul,Istanbul,1,1,1,1,2,Armed Assault,10,Journalists & Media,209,Turkey,Unknown,0,5,Firearms,,0,0,
2000,1,9,45,Colombia,3,South America,Bogota,Bogota,1,1,1,0,3,Bombing/Explosion,14,Private Citizens & Property,45,Colombia,National Liberation Army of Colombia (ELN),0,6,Explosives,An 8-kg bomb was defused,0,0,
2000,1,9,139,Namibia,11,Sub-Saharan Africa,Kavango,Nkonke,1,1,1,1,2,Armed Assault,14,Private Citizens & Property,139,Namibia,National Union for the Total Independence of Angola (UNITA),0,5,Firearms,,2,0,
2000,1,9,28,Bosnia-Herzegovina,9,Eastern Europe,Bosnia and Herzegovina (Federation),Travnik,0,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,28,Bosnia-Herzegovina,Unknown,0,6,Explosives,Sources speculate that the explosion was caused by a detonator only,0,0,
2000,1,10,603,United Kingdom,8,Western Europe,Northern Ireland,Portadown,1,1,1,1,1,Assassination,17,Terrorists/Non-State Militia,233,Northern Ireland,Loyalist Volunteer Forces (LVF),0,5,Firearms,,1,0,
2000,1,10,6,Algeria,10,Middle East & North Africa,Médéa,Tafal,1,1,1,1,3,Bombing/Explosion,1,Business,6,Algeria,Algerian Islamic Extremists,0,6,Explosives,Bomb,1,0,0
2000,1,11,118,Macedonia,9,Eastern Europe,Aracinovo (Municipality),Aracinovo,1,1,1,1,2,Armed Assault,2,Government (General),118,Macedonia,Unknown,0,5,Firearms,Three automatic rifles and one automatic pistol were used,3,0,
2000,1,11,213,Uganda,11,Sub-Saharan Africa,Western,Bundibugyo district,1,1,1,1,2,Armed Assault,14,Private Citizens & Property,213,Uganda,Allied Democratic Forces (ADF),0,13,Unknown,,10,1,0
2000,1,11,92,India,6,South Asia,Andhra Pradesh,Kaghaznagar,1,1,1,1,3,Bombing/Explosion,3,Police,92,India,People's War Group (PWG),0,6,Explosives,,2,0,
2000,1,0,101,Japan,4,East Asia,"Naka District, Ibaraki",Tokaimura,1,1,1,0,3,Bombing/Explosion,21,Utilities,101,Japan,Unknown,1,6,Explosives,"The bomb was made from aluminum cans, a steel pipe and a can of chloroethylene",0,0,
2000,1,12,183,South Africa,11,Sub-Saharan Africa,Gauteng,Pretoria,1,1,1,1,2,Armed Assault,14,Private Citizens & Property,183,South Africa,Unknown,0,5,Firearms,,3,0,
2000,1,12,45,Colombia,3,South America,Narino,Puerres,1,1,1,1,2,Armed Assault,3,Police,45,Colombia,Revolutionary Armed Forces of Colombia (FARC),0,5,Firearms,,,0,
2000,1,12,45,Colombia,3,South America,Narino,Cordoba,1,1,1,1,2,Armed Assault,3,Police,45,Colombia,Revolutionary Armed Forces of Colombia (FARC),0,5,Firearms,,,0,
2000,1,12,45,Colombia,3,South America,Narino,Potosi,1,1,1,1,2,Armed Assault,3,Police,45,Colombia,Revolutionary Armed Forces of Colombia (FARC),0,5,Firearms,,,1,0
2000,1,12,92,India,6,South Asia,Jammu and Kashmir,Khanabal,1,1,1,1,2,Armed Assault,4,Military,92,India,Lashkar-e-Taiba (LeT),0,5,Firearms,,20,0,
2000,1,12,183,South Africa,11,Sub-Saharan Africa,Western Cape,Cape Town,1,1,1,1,3,Bombing/Explosion,2,Government (General),183,South Africa,Unknown,0,6,Explosives,,0,0,
2000,1,12,183,South Africa,11,Sub-Saharan Africa,Western Cape,Cape Town,1,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,183,South Africa,28s,0,8,Incendiary,Petrol bombs were thrown inside the flats,0,0,
2000,1,12,230,Zambia,11,Sub-Saharan Africa,North-Western,Chavuma district,1,1,1,1,2,Armed Assault,14,Private Citizens & Property,230,Zambia,National Union for the Total Independence of Angola (UNITA),0,5,Firearms,The rebels were armed with AK-47s.,0,0,
2000,1,12,230,Zambia,11,Sub-Saharan Africa,North-Western,Chavuma district,1,1,1,1,2,Armed Assault,14,Private Citizens & Property,230,Zambia,National Union for the Total Independence of Angola (UNITA),0,5,Firearms,The rebels were armed with AK-47s.,0,0,
2000,1,12,230,Zambia,11,Sub-Saharan Africa,North-Western,Chavuma district,1,1,1,1,2,Armed Assault,14,Private Citizens & Property,230,Zambia,National Union for the Total Independence of Angola (UNITA),0,5,Firearms,The rebels were armed with AK-47s.,0,0,
2000,1,12,230,Zambia,11,Sub-Saharan Africa,North-Western,Chavuma district,1,1,1,1,2,Armed Assault,14,Private Citizens & Property,230,Zambia,National Union for the Total Independence of Angola (UNITA),0,5,Firearms,The rebels were armed with AK-47s.,0,0,
2000,1,12,230,Zambia,11,Sub-Saharan Africa,North-Western,Chavuma district,1,1,1,1,2,Armed Assault,14,Private Citizens & Property,230,Zambia,National Union for the Total Independence of Angola (UNITA),0,5,Firearms,The rebels were armed with AK-47s.,0,0,
2000,1,12,230,Zambia,11,Sub-Saharan Africa,North-Western,Chavuma district,1,1,1,1,2,Armed Assault,14,Private Citizens & Property,230,Zambia,National Union for the Total Independence of Angola (UNITA),0,5,Firearms,The rebels were armed with AK-47s.,0,0,
2000,1,12,230,Zambia,11,Sub-Saharan Africa,North-Western,Chavuma district,1,1,1,1,2,Armed Assault,14,Private Citizens & Property,230,Zambia,National Union for the Total Independence of Angola (UNITA),0,5,Firearms,The rebels were armed with AK-47s.,0,0,
2000,1,12,230,Zambia,11,Sub-Saharan Africa,North-Western,Chavuma district,1,1,1,1,2,Armed Assault,14,Private Citizens & Property,230,Zambia,National Union for the Total Independence of Angola (UNITA),0,5,Firearms,The rebels were armed with AK-47s.,0,0,
2000,1,12,110,Lebanon,10,Middle East & North Africa,South,Sejoud,1,1,1,1,3,Bombing/Explosion,17,Terrorists/Non-State Militia,110,Lebanon,Hezbollah,0,6,Explosives,"""A remote-controlled bomb""",1,0,
2000,1,13,213,Uganda,11,Sub-Saharan Africa,Northern,Aworanga,1,1,1,1,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,213,Uganda,Lord's Resistance Army (LRA),0,13,Unknown,,0,1,0
2000,1,13,183,South Africa,11,Sub-Saharan Africa,Western Cape,Cape Town,1,1,1,1,2,Armed Assault,14,Private Citizens & Property,183,South Africa,Unknown,0,8,Incendiary,Petrol bombs were thrown inside the houses,0,0,
2000,1,13,69,France,8,Western Europe,Lower Normandy,Pontorson,1,1,1,1,3,Bombing/Explosion,2,Government (General),69,France,Unknown,0,6,Explosives,,0,0,
2000,1,13,186,Sri Lanka,6,South Asia,Eastern,Batticaloa,1,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,186,Sri Lanka,Liberation Tigers of Tamil Eelam (LTTE),0,6,Explosives,,1,0,
2000,1,14,139,Namibia,11,Sub-Saharan Africa,Caprivi,Omega,1,1,1,1,2,Armed Assault,14,Private Citizens & Property,139,Namibia,National Union for the Total Independence of Angola (UNITA),0,5,Firearms,,4,0,
2000,1,14,141,Nepal,6,South Asia,Mid-Western,Liwang,1,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,141,Nepal,Unknown,0,6,Explosives,,0,0,
2000,1,14,137,Mozambique,11,Sub-Saharan Africa,Maputo,Mafalala,1,1,1,1,2,Armed Assault,19,Transportation,137,Mozambique,Unknown,0,5,Firearms,,,0,
2000,1,14,167,Russia,9,Eastern Europe,Astrakhan (Oblast),Tambovka,1,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,167,Russia,Unknown,0,6,Explosives,,3,0,
2000,1,14,186,Sri Lanka,6,South Asia,Northern,Jaffna,1,1,1,1,1,Assassination,2,Government (General),186,Sri Lanka,Unknown,0,5,Firearms,,2,0,
2000,1,15,199,Switzerland,8,Western Europe,Graubunden,Davos,1,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,199,Switzerland,Unknown,0,6,Explosives,,0,0,
2000,1,15,205,Thailand,5,Southeast Asia,Unknown,Ban Lard (District),1,1,1,1,1,Assassination,14,Private Citizens & Property,205,Thailand,Unknown,0,5,Firearms,,1,0,
2000,1,15,8,Angola,11,Sub-Saharan Africa,Huambo,Catchiungo,1,1,1,1,2,Armed Assault,14,Private Citizens & Property,8,Angola,National Union for the Total Independence of Angola (UNITA),0,9,Melee,,36,0,
2000,1,15,217,United States,1,North America,California,Petaluma,1,1,1,1,7,Facility/Infrastructure Attack,1,Business,217,United States,Animal Liberation Front (ALF),0,8,Incendiary,more than six incendiary devices,0,0,0
2000,1,16,195,Sudan,11,Sub-Saharan Africa,Red Sea,Sinkat,1,1,1,1,3,Bombing/Explosion,21,Utilities,195,Sudan,Beja Congress,0,6,Explosives,,0,0,
2000,1,16,92,India,6,South Asia,Jammu and Kashmir,Budgam District,1,1,1,1,3,Bombing/Explosion,21,Utilities,92,India,Lashkar-e-Taiba (LeT),0,6,Explosives,,0,0,
2000,1,16,209,Turkey,10,Middle East & North Africa,Istanbul,Istanbul,1,1,1,1,3,Bombing/Explosion,10,Journalists & Media,209,Turkey,Great Eastern Islamic Raiders Front (IBDA-C),0,6,Explosives,,0,0,
2000,1,16,92,India,6,South Asia,Tripura,Jirania,1,1,1,1,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,92,India,National Liberation Front of Tripura (NLFT),0,5,Firearms,,0,1,0
2000,1,16,213,Uganda,11,Sub-Saharan Africa,Western,Bundibugyo,1,1,1,1,2,Armed Assault,14,Private Citizens & Property,213,Uganda,Allied Democratic Forces (ADF),0,5,Firearms,,24,0,
2000,1,17,153,Pakistan,6,South Asia,Sindh,Karachi,1,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,153,Pakistan,Unknown,0,6,Explosives,A 1-kilogram homemade device,9,0,
2000,1,17,45,Colombia,3,South America,Cundinamarca,Anapoima,1,1,1,1,3,Bombing/Explosion,3,Police,45,Colombia,Unknown,0,6,Explosives,A car bomb was parked in front of the club,0,0,
2000,1,17,97,Israel,10,Middle East & North Africa,Haifa,Hadera,1,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,97,Israel,Unknown,0,6,Explosives,,0,0,
2000,1,17,45,Colombia,3,South America,Antioquia,Unknown,1,1,1,1,3,Bombing/Explosion,21,Utilities,45,Colombia,National Liberation Army of Colombia (ELN),0,6,Explosives,,0,0,
2000,1,17,228,Yemen,10,Middle East & North Africa,Unknown,Unknown,1,1,1,1,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,69,France,Unknown,0,13,Unknown,,0,1,0
2000,1,18,45,Colombia,3,South America,Bogota,Bogota,1,1,1,1,3,Bombing/Explosion,8,Educational Institution,45,Colombia,Revolutionary Armed Forces of Colombia (FARC),0,6,Explosives,,1,0,
2000,1,18,186,Sri Lanka,6,South Asia,Western,Colombo,1,1,1,0,3,Bombing/Explosion,3,Police,186,Sri Lanka,Unknown,0,6,Explosives,A high powered parcel bomb packed with ball bearings was used,0,0,
2000,1,18,167,Russia,9,Eastern Europe,Ingushetia (Republic),Nazran,1,1,1,1,3,Bombing/Explosion,2,Government (General),167,Russia,Unknown,0,6,Explosives,,0,0,
2000,1,18,160,Philippines,5,Southeast Asia,Davao del Sur,Davao City,1,1,1,1,3,Bombing/Explosion,1,Business,160,Philippines,New People's Army (NPA),0,6,Explosives,A homemade bomb paired with gasoline,0,0,
2000,1,19,34,Burundi,11,Sub-Saharan Africa,Ngozi,Magara,1,1,1,1,2,Armed Assault,12,NGO,34,Burundi,Unknown,0,5,Firearms,,0,0,
2000,1,19,118,Macedonia,9,Eastern Europe,Oslomej (Municipality),Oslomej,1,1,1,1,3,Bombing/Explosion,3,Police,118,Macedonia,Unknown,0,6,Explosives,,0,0,
2000,1,19,92,India,6,South Asia,Assam,Unknown,1,1,1,1,3,Bombing/Explosion,19,Transportation,92,India,Unknown,0,6,Explosives,A powerful land mine was triggered,0,0,
2000,1,20,186,Sri Lanka,6,South Asia,North Central,Morawewa,1,1,1,1,3,Bombing/Explosion,3,Police,186,Sri Lanka,Liberation Tigers of Tamil Eelam (LTTE),0,6,Explosives,,5,0,
2000,1,20,217,United States,1,North America,Indiana,Bloomington,1,1,1,1,7,Facility/Infrastructure Attack,14,Private Citizens & Property,217,United States,Earth Liberation Front (ELF),0,8,Incendiary,,0,0,
2000,1,21,185,Spain,8,Western Europe,Madrid,Madrid,1,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,185,Spain,Basque Fatherland and Freedom (ETA),0,6,Explosives,A car bomb was used,3,0,
2000,1,21,1003,Kosovo,9,Eastern Europe,Kosovo (Province),Cagllavice,1,1,1,1,3,Bombing/Explosion,1,Business,175,Serbia-Montenegro,Unknown,0,6,Explosives,A rocket was fired into the shop but it did not explode,0,0,
2000,1,21,59,Ecuador,3,South America,Pichincha,Quito,1,1,1,1,3,Bombing/Explosion,2,Government (General),59,Ecuador,Unknown,0,6,Explosives,,0,0,
2000,1,21,139,Namibia,11,Sub-Saharan Africa,Kavango,Mayara,1,1,1,1,2,Armed Assault,14,Private Citizens & Property,139,Namibia,National Union for the Total Independence of Angola (UNITA),0,5,Firearms,,3,0,
2000,1,23,139,Namibia,11,Sub-Saharan Africa,Unknown,Tshobe,1,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,139,Namibia,National Union for the Total Independence of Angola (UNITA),0,6,Explosives,,1,0,
